Account Title,First Name,Last Name,PI Rank,Sponsor Name,Program Name,FacultyName,DepartmentName,Project Start Date,Project End Date,Award Type,CoI Team Count,SemiColon Co Investigators FirstLast,Column1,Column2,Column3
Indirect Cost Program- UBCV Faculty of Land & Food Systems,Murray B.,Isman,Professor,Research Support Fund (Federal Research Support Fund Grant),,Land and Food Systems,,2012-04-01 00:00:00.0000000,2018-03-31 00:00:00.0000000,Grant,31,Alejandro Adem;Blye Frank;Catherine D. Dauvergne;Charles Shuler;Dermot Kelleher;Eric R. Hall;Gage Averill;Hugh W. Brock;Jim W. Kronstad;John B. Roeder;John Innes;Linc Kesler;Louise L. Nasmith;Luanne Freund;Marc Parlange;Mary Anne Bobinski;Michael Coughtrie;Murray B. Isman;Panos Nasiopoulos;Penelope Gurstein;Peter Klein;Richard B. Kurth;Robert D. Sindelar;Robert E.C. Sparks;Robert W. Helsley;Ronald Kellett;Simon M. Peacock;Susan D. Porter;Suzanne H. Campbell;Tim Stainton;Valter Ciocca,,,
Effects of Milk Intake on Nutrient Status and Neurocognitive Development in Toddlers: A Partially Randomized and Controlled Trial,Yvonne,Lamers,Assistant Professor,Nestec Ltd. (US Research Centre),,Land and Food Systems,Human and Animal Nutrition,2016-01-08 00:00:00.0000000,2018-12-31 00:00:00.0000000,Clinical Trial,1,Tim F. Oberlander,,,
NSERC industrial research chair in dairy cattle welfare - Research,David,Fraser,Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Industrial Research Chairs - Regular,Land and Food Systems,Animal Welfare,2014-07-01 00:00:00.0000000,2019-06-30 00:00:00.0000000,Grant,3,Dan M. Weary;David Fraser;Marina Andrea G. von Keyserlingk,,,
Unrestricted research funds,Christine H.,Scaman,Associate Professor,UBC Unrestricted Research Funds,,Land and Food Systems,Food Science,2015-04-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
Unrestricted research funds,Leslie M.,Lavkulich,Professor Emeritus/a,UBC Unrestricted Research Funds,,Land and Food Systems,,2017-01-01 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
UBC nutritional biomarker laboratory,Yvonne,Lamers,Assistant Professor,Canada Foundation for Innovation,John R. Evans Leaders Fund - Partnerships,Land and Food Systems,Human and Animal Nutrition,2015-04-01 00:00:00.0000000,2018-06-30 00:00:00.0000000,Grant,,,,,
Identification of novel genetic factors contributing to the significance of listeria monocytogenes as a foodborne pathogen,Kevin,Allen,Assistant Professor,Natural Sciences and Engineering Research Council of Canada (NSERC),Discovery Grants Program - Individual,Land and Food Systems,Food Science,2012-04-01 00:00:00.0000000,2013-03-31 00:00:00.0000000,Grant,,,,,
CFI Infrastructure Operating Fund,Carol,McAusland,Associate Professor,Canada Foundation for Innovation,Infrastructure Operating Fund,Land and Food Systems,Food and Resource Economics,2014-04-01 00:00:00.0000000,2020-03-31 00:00:00.0000000,Grant,,,,,
Start up funds,Crystal D,Karakochuk,Assistant Professor,UBC Faculty of Land and Food Systems,Start Up Funds,Land and Food Systems,Human and Animal Nutrition,2017-01-01 00:00:00.0000000,2021-12-31 00:00:00.0000000,Grant,,,,,
Unrestricted Research Funds,Jennifer L.,Black,Assistant Professor,UBC Unrestricted Research Funds,,Land and Food Systems,Human and Animal Nutrition,2009-11-13 00:00:00.0000000,2099-03-31 00:00:00.0000000,Grant,,,,,
